"DisplayName","ObjectType","RoleDefinitionName","Scope"
"centrica-emt-Earth-99f4d63e-f528-428c-a810-441b61710597","ServicePrincipal","Contributor","/subscriptions/99f4d63e-f528-428c-a810-441b61710597"
"centrica-emt-Integrations-99f4d63e-f528-428c-a810-441b61710597","ServicePrincipal","Contributor","/subscriptions/99f4d63e-f528-428c-a810-441b61710597"
"centrica-emt-Earth-99f4d63e-f528-428c-a810-441b61710597","ServicePrincipal","Contributor","/subscriptions/99f4d63e-f528-428c-a810-441b61710597"
"centrica-emt-EOS-99f4d63e-f528-428c-a810-441b61710597","ServicePrincipal","Contributor","/subscriptions/99f4d63e-f528-428c-a810-441b61710597"
"Commvault","ServicePrincipal","Contributor","/subscriptions/99f4d63e-f528-428c-a810-441b61710597"
"azwu-rv-p-zog-asr-automationaccount_IpK5bceAlKAcnUM4dD4yywXunnoCN2uy+MPU+tzk6Pg=","ServicePrincipal","Contributor","/subscriptions/99f4d63e-f528-428c-a810-441b61710597"
"azwu-rv-p-7qb-asr-automationaccount_spZRbQ/NFMrJst3G/Qc4dLU3+GGE4Wm8HyUp3iLqcW8=","ServicePrincipal","Contributor","/subscriptions/99f4d63e-f528-428c-a810-441b61710597"
"g-AR-CE-DBA-LANID-AD","Group","EMT-L2Support-Prod","/subscriptions/99f4d63e-f528-428c-a810-441b61710597/resourceGroups/azsu-rg-prod-emt-valrisk-001"
"g-CE-Midstream Avanade L2","Group","EMT-L2Support-Prod","/subscriptions/99f4d63e-f528-428c-a810-441b61710597/resourceGroups/azsu-rg-prod-emt-valrisk-001"
"azsu-auto-CloudOperate-automation-Prod-001_VS5SJJw8lPzZ4riZCL2cTzPMYNZSieRMv35AoCMdnwk=","ServicePrincipal","Contributor","/subscriptions/99f4d63e-f528-428c-a810-441b61710597"
"azsu-rsv--exu-asr-automationaccount_WN7TimL9bX1Pcw1EHRXecgy0T9Brj+wMh6VRyAtwXfM=","ServicePrincipal","Contributor","/subscriptions/99f4d63e-f528-428c-a810-441b61710597"
"azsu-rsv--6tc-asr-automationaccount_/PdrWwYv6ru3znLI5FMzYi7KsZcypfYLBAkmHe/3P9A=","ServicePrincipal","Contributor","/subscriptions/99f4d63e-f528-428c-a810-441b61710597"
"Microsoft Defender for Cloud Servers Scanner Resource Provider","ServicePrincipal","VM Scanner Operator","/subscriptions/99f4d63e-f528-428c-a810-441b61710597"
"CloudPosture/securityOperators/DefenderCSPMSecurityOperator","ServicePrincipal","Storage Blob Data Owner","/subscriptions/99f4d63e-f528-428c-a810-441b61710597"
"CloudPosture/securityOperators/DefenderCSPMSecurityOperator","ServicePrincipal","Storage Account Contributor","/subscriptions/99f4d63e-f528-428c-a810-441b61710597"
"CloudPosture/securityOperators/DefenderCSPMSecurityOperator","ServicePrincipal","Role Based Access Control Administrator","/subscriptions/99f4d63e-f528-428c-a810-441b61710597"
"CloudPosture/securityOperators/DefenderCSPMSecurityOperator","ServicePrincipal","EventGrid Contributor","/subscriptions/99f4d63e-f528-428c-a810-441b61710597"
"storageDataScanner","ServicePrincipal","Storage Blob Data Reader","/subscriptions/99f4d63e-f528-428c-a810-441b61710597"
"StorageAccounts/securityOperators/DefenderForStorageSecurityOperator","ServicePrincipal","Role Based Access Control Administrator","/subscriptions/99f4d63e-f528-428c-a810-441b61710597"
"StorageAccounts/securityOperators/DefenderForStorageSecurityOperator","ServicePrincipal","Storage Account Contributor","/subscriptions/99f4d63e-f528-428c-a810-441b61710597"
"StorageAccounts/securityOperators/DefenderForStorageSecurityOperator","ServicePrincipal","Storage Account Contributor","/subscriptions/99f4d63e-f528-428c-a810-441b61710597"
"StorageAccounts/securityOperators/DefenderForStorageSecurityOperator","ServicePrincipal","EventGrid Contributor","/subscriptions/99f4d63e-f528-428c-a810-441b61710597"
"StorageAccounts/securityOperators/DefenderForStorageSecurityOperator","ServicePrincipal","EventGrid Contributor","/subscriptions/99f4d63e-f528-428c-a810-441b61710597"
